date,sessions,bounces,orders,revenue
2017-12-15,322,7,0,1906.90
2017-12-16,345,14,1,716.35
2017-12-17,419,11,3,3036.75
2017-12-18,354,7,0,4770.57
2017-12-19,328,8,1,1956.75
2017-12-20,295,7,3,2753.50
2017-12-21,317,13,2,2154.80
2017-12-22,250,3,0,1117.50
2017-12-23,199,8,0,338.70
2017-12-24,140,5,0,0.00
2017-12-25,273,7,0,30.00
2017-12-26,479,8,1,1571.95
2017-12-27,848,24,1,2327.30
2017-12-28,769,16,2,1821.40
2017-12-29,686,18,2,1042.20
2017-12-30,652,20,1,1923.80
2017-12-31,496,15,1,531.00
2018-01-01,"1,005",26,2,2414.55
2018-01-02,"1,111",36,1,7205.77
2018-01-03,"1,037",30,3,4411.30
2018-01-04,993,36,5,3606.50
2018-01-05,697,21,2,1783.60
2018-01-06,790,28,4,3801.60
2018-01-07,858,36,5,3206.75
2018-01-08,912,27,2,4376.90
2018-01-09,"1,022",25,3,3101.35
2018-01-10,"1,091",28,1,6028.62
2018-01-11,981,19,3,5303.19
2018-01-12,900,13,1,1859.70
2018-01-13,882,19,7,2224.90
2018-01-14,903,22,2,3215.80
2018-01-15,888,32,5,7110.37
2018-01-16,980,27,3,5670.30
2018-01-17,935,19,5,3790.60
2018-01-18,845,13,3,4006.28
2018-01-19,843,19,2,1768.40
2018-01-20,901,18,4,1331.40
2018-01-21,907,22,2,2861.90
2018-01-22,955,15,3,4454.63
2018-01-23,824,14,2,3630.56
2018-01-24,849,22,5,4887.90
2018-01-25,857,17,3,1824.65
2018-01-26,725,19,8,2471.20
2018-01-27,695,15,3,1193.00
2018-01-28,946,30,6,3909.40
2018-01-29,938,45,7,3474.70
2018-01-30,939,33,14,4813.00
2018-01-31,814,14,3,4395.40
2018-02-01,725,44,7,3060.90
2018-02-02,666,26,4,2051.90
2018-02-03,611,10,3,1428.87
2018-02-04,861,30,7,1961.00
2018-02-05,795,24,12,4285.55
2018-02-06,674,27,5,4422.20
2018-02-07,567,23,9,3790.67
2018-02-08,516,27,8,3201.65
2018-02-09,441,22,2,3565.80
2018-02-10,593,28,2,859.00
2018-02-11,936,25,4,4103.40
2018-02-12,939,34,10,3185.85
2018-02-13,772,30,4,4860.65
2018-02-14,668,19,8,3300.50
2018-02-15,725,20,2,3816.55
2018-02-16,651,25,4,1660.85
2018-02-17,780,24,0,1391.10
2018-02-18,"1,055",24,8,3365.20
2018-02-19,"1,002",22,6,4889.50
2018-02-20,896,49,12,4001.60
2018-02-21,868,27,7,4465.90
2018-02-22,751,26,5,1877.92
2018-02-23,560,18,2,1633.90
2018-02-24,607,13,4,1636.02
2018-02-25,929,17,5,2250.64
2018-02-26,879,22,5,4658.62
2018-02-27,776,26,14,4284.70
2018-02-28,623,11,5,4956.75
2018-03-01,504,13,2,2379.60
2018-03-02,528,24,6,2129.15
2018-03-03,581,38,3,461.75
2018-03-04,672,57,3,2697.79
2018-03-05,789,74,5,5322.15
2018-03-06,652,34,3,3618.95
2018-03-07,549,22,3,3118.10
2018-03-08,462,16,7,1108.70
2018-03-09,458,9,3,1061.00
2018-03-10,572,17,3,1700.59
2018-03-11,648,19,1,2297.90
2018-03-12,701,27,7,5672.55
2018-03-13,786,61,8,3927.40
2018-03-14,755,28,8,4364.49
2018-03-15,633,29,3,2428.37
2018-03-16,545,20,7,1468.95
2018-03-17,522,17,1,933.90
2018-03-18,974,33,4,3487.37
2018-03-19,536,23,4,5249.30
2018-03-20,729,52,8,3963.60
2018-03-21,669,26,7,3483.72
2018-03-22,570,21,2,3237.73
2018-03-23,550,20,3,1788.50
2018-03-24,475,22,5,1667.35
2018-03-25,542,22,0,2154.00
2018-03-26,599,28,4,4117.35
2018-03-27,560,14,5,3298.47
2018-03-28,341,13,3,3125.10
2018-03-29,317,20,1,771.75
2018-03-30,250,12,1,1738.70
2018-03-31,212,12,3,1191.82
2018-04-01,371,33,1,815.00
2018-04-02,505,25,3,2507.95
2018-04-03,608,25,2,5752.10
2018-04-04,396,22,0,2995.40
2018-04-05,302,6,2,2828.50
2018-04-06,276,20,4,1632.61
2018-04-07,272,10,0,1306.50
2018-04-08,322,20,1,2881.91
2018-04-09,430,20,4,4606.43
2018-04-10,389,14,3,4434.58
2018-04-11,337,11,5,3598.12
2018-04-12,330,15,1,2758.65
2018-04-13,320,17,2,1525.69
2018-04-14,229,14,0,1086.34
2018-04-15,456,20,2,2210.18
2018-04-16,547,21,8,3866.15
2018-04-17,471,19,7,2989.61
2018-04-18,520,21,6,4502.80
2018-04-19,458,12,0,1484.45
2018-04-20,441,22,3,1554.80
2018-04-21,395,22,1,1788.40
2018-04-22,562,29,4,2012.50
2018-04-23,735,32,12,5829.60
2018-04-24,792,35,7,4535.68
2018-04-25,692,24,3,3483.88
2018-04-26,708,30,1,2468.25
2018-04-27,527,19,4,2210.74
2018-04-28,418,12,5,1650.10
2018-04-29,461,29,2,1803.70
2018-04-30,441,16,1,2174.24
2018-05-01,581,24,3,1738.74
2018-05-02,789,23,3,2970.70
2018-05-03,826,39,2,1273.60
2018-05-04,"1,210",43,2,1790.10
2018-05-05,"1,241",62,3,1324.05
2018-05-06,"1,231",49,1,1488.15
2018-05-07,"1,263",38,5,5110.95
2018-05-08,"1,125",35,4,7076.39
2018-05-09,"1,016",29,5,4495.59
2018-05-10,823,25,2,2975.70
2018-05-11,819,24,2,3119.50
2018-05-12,740,29,1,1445.20
2018-05-13,"1,034",35,4,2286.85
2018-05-14,"1,133",43,10,5618.95
2018-05-15,"1,039",36,5,4848.80
2018-05-16,"1,000",41,6,4275.60
2018-05-17,928,40,4,2883.60
2018-05-18,786,40,4,2187.75
2018-05-19,632,20,1,942.70
2018-05-20,972,29,3,1918.70
2018-05-21,939,25,8,2537.80
2018-05-22,"1,199",33,5,4044.05
2018-05-23,"1,203",27,8,6207.30
2018-05-24,975,25,5,3709.60
2018-05-25,909,29,2,2218.75
2018-05-26,913,21,2,1798.50
2018-05-27,"1,151",25,5,1981.95
2018-05-28,"1,162",34,5,2865.20
2018-05-29,"1,036",23,5,2835.00
2018-05-30,868,25,5,2160.75
2018-05-31,937,34,0,1069.20
2018-06-01,974,23,1,1917.50
2018-06-02,966,37,1,1514.80
2018-06-03,"1,298",52,3,2080.15
2018-06-04,"1,273",40,8,3701.85
2018-06-05,"1,152",39,1,6703.15
2018-06-06,"1,219",43,3,4096.06
2018-06-07,"1,160",28,3,2696.70
2018-06-08,"1,072",37,1,3098.25
2018-06-09,879,24,2,1406.60
2018-06-10,"1,168",37,8,3633.50
2018-06-11,"1,258",40,9,5528.50
2018-06-12,"1,357",37,6,4318.05
2018-06-13,"1,236",32,2,5355.55
